part_id,assembly,material,thickness,qty,rough_l,rough_w,final_l,final_w,notes
PL-01,plinth,2x6 lumber,1.5,2,84.5,5.5,84,5.5,Front and rear plinth rails
PL-02,plinth,2x4 lumber,1.5,4,39.5,3.5,36,3.5,Side rails and internal plinth crossmembers
PL-03,plinth,2x6 lumber,1.5,4,8,5.5,7,5.5,Caster hardpoint blocks
PL-04,plinth,plywood,0.75,2,8,8,7,7,Leveling-foot pads if needed
LM-01,left_module,plywood,0.75,2,31.5,42.5,31,42,Left module sides
LM-02,left_module,plywood,0.75,1,31.5,42.5,31,42,Left module internal partition
LM-03,left_module,plywood,0.75,1,26,42.5,25.5,42,Left module bottom deck
LM-04,left_module,plywood,0.75,2,26,4.5,25.5,4,Left module top front and rear stretchers
LM-05,left_module,plywood,0.5,1,28.25,31.5,27.75,31,Left module back panel
LM-06,left_module,plywood,0.75,2,8.5,41,8,40.5,Vertical-bay shelves
CM-01,center_module,plywood,0.75,2,31.5,42.5,31,42,Center module sides
CM-02,center_module,plywood,0.75,2,29.5,4.5,29,4,Center module top front and rear stretchers
CM-03,center_module,plywood,0.75,2,29.5,6.5,29,6,Center module lower front and rear stretchers
CM-04,center_module,2x4 lumber,1.5,2,29.5,3.5,29,3.5,Saw-mount ledgers
CM-05,center_module,2x4 lumber,1.5,2,24.5,3.5,24,3.5,Saw cradle crossrails field-fit only after stripped-saw survey
RM-01,right_module,plywood,0.75,2,31.5,42.5,31,42,Right module sides
RM-02,right_module,plywood,0.75,1,31.5,42.5,31,42,Right module notched partition; upper front and rear corners must clear the two rail lanes
RM-03,right_module,plywood,0.75,1,21,41,20.5,40.5,Dust-bay floor
RM-04,right_module,plywood,0.75,2,27,4.5,26.5,4,Right module top front and rear stretchers
RM-05,right_module,plywood,0.5,1,29.25,31.5,28.75,31,Right module back panel with service cutouts
RM-06,right_module,plywood,0.75,1,20.5,28.5,20,28,Front lower removable service face sized to clear the Hercules tray path
RM-07,right_module,plywood,0.75,1,12.5,10.5,12,10,Right-side router access hatch
RM-08,right_module,plywood,0.75,1,24.5,19.5,24,19,Hercules pull-out tray field-fit to the actual wheel and body stance
TOP-01A,top,plywood,0.75,1,90.5,32.25,90,31.75,Rear fixed-top substrate
TOP-01B,top,plywood,0.75,1,30.75,16.75,30.25,16.25,Right-front fixed-top infill substrate
TOP-02A,top,MDF,0.75,1,90.5,32.25,90,31.75,Rear fixed-top precision skin
TOP-02B,top,MDF,0.75,1,30.75,16.75,30.25,16.25,Right-front fixed-top infill precision skin
TOP-03,top,plywood,0.75,4,15,2.5,14,2,Router plate ledgers and local blocking
TOP-04,top,plywood,0.75,2,30.75,4.5,30.25,4,Seam cleats under the right-front infill joint
TOP-05,top,plywood,0.75,2,42,3.5,41.25,3,Under-top stiffeners that stay outside the rail keep-clear lanes
TOP-06,top,plywood,0.75,4,4.5,4.5,4,4,Future overlay anchor backing pads below the fixed top
FW-01,front_wing,plywood,0.75,1,60.25,16.75,59.75,16.25,Wing substrate
FW-02,front_wing,plywood,0.75,1,60.25,16.75,59.75,16.25,Wing skin
FW-03,front_wing,plywood,0.75,1,60.25,3.5,59.75,3,Front wing stiffener batten
FW-04,front_wing,2x4 lumber,1.5,2,37,1.75,35.5,1.5,Folding leg blanks rip to final size and trim only after hinge and bracket geometry are set
FW-05,front_wing,plywood,0.75,2,12,3.5,11.5,3,Folding leg feet or cleats
FW-06,front_wing,plywood,0.75,2,4.5,4.5,4,4,Registration-pin backing blocks
DR-01,drawers,plywood,0.5,6,22.5,4.5,22,4,Top drawer sides
DR-02,drawers,plywood,0.5,6,16.5,4.5,16,4,Top drawer fronts and backs
DR-03,drawers,plywood,0.5,2,22.5,6.5,22,6,Middle drawer sides
DR-04,drawers,plywood,0.5,2,16.5,6.5,16,6,Middle drawer fronts and backs
DR-05,drawers,plywood,0.5,2,22.5,8.5,22,8,Bottom drawer sides
DR-06,drawers,plywood,0.5,2,16.5,8.5,16,8,Bottom drawer fronts and backs
DR-07,drawers,plywood,0.5,3,17,22.5,16.5,22,Drawer bottoms
RF-01,router_fence,plywood,0.75,1,33,6.5,32,6,Router fence body
RF-02,router_fence,plywood,0.75,2,16,4.5,15.5,4,Router fence faces
RF-03,router_fence,plywood,0.75,2,12,5.5,11.5,5,Router fence ends
ASM-01,assembly_overlay,plywood,0.75,1,60.5,36.5,60,36,Future removable assembly overlay
ASM-02,assembly_overlay,plywood,0.75,1,36.5,1.75,36,1.5,Left register cleat for overlay
ASM-03,assembly_overlay,plywood,0.75,1,60.5,1.75,60,1.5,Rear register cleat for overlay
ASM-04,assembly_overlay,plywood,0.75,1,30.5,2.5,30,2,Underside overlay stiffener across the saw-opening span
