part_id,assembly,material,thickness,qty,rough_l,rough_w,final_l,final_w,gate,notes
PL-01,plinth,2x4 lumber,1.5,2,84.5,3.5,84,3.5,cut_now,Front and rear plinth rails
PL-02,plinth,2x4 lumber,1.5,2,39.5,3.5,36,3.5,cut_now,Side plinth rails
PL-03,plinth,2x4 lumber,1.5,4,39.5,3.5,36,3.5,cut_now,Internal plinth crossmembers
PL-04,plinth,2x6 lumber,1.5,4,8,5.5,7,5.5,cut_now,Caster reinforcement blocks
LM-01,left_module,plywood,0.75,2,31.5,42.5,31,42,cut_now,Left module sides
LM-02,left_module,plywood,0.75,1,31.5,42.5,31,42,cut_now,Left module partition located to leave 7.5 in clear cubby and 18 in clear drawer bay
LM-03,left_module,plywood,0.75,1,26.75,42.5,26.25,42,cut_now,Left module bottom deck
LM-04,left_module,plywood,0.75,2,26.75,4.5,26.25,4,cut_now,Left module top front and rear stretchers
LM-05,left_module,plywood,0.5,1,28.25,31.5,27.75,31,cut_now,Left module back panel
LM-06,left_module,plywood,0.75,2,8.5,41,8,40.5,cut_now,Vertical-cubby shelves
LM-07,left_module,plywood,0.75,1,18.25,5.25,17.75,4.875,after_face_fit,Top applied drawer front with 1/8 in reveals
LM-08,left_module,plywood,0.75,1,18.25,7.25,17.75,6.875,after_face_fit,Middle applied drawer front with 1/8 in reveals
LM-09,left_module,plywood,0.75,1,18.25,9.25,17.75,8.875,after_face_fit,Bottom applied drawer front with 1/8 in reveals
CM-01,center_module,plywood,0.75,2,31.5,42.5,31,42,cut_now,Center module sides
CM-02,center_module,plywood,0.75,2,29.5,4.5,29,4,cut_now,Center module top front and rear stretchers
CM-03,center_module,plywood,0.75,2,29.5,6.5,29,6,cut_now,Center module lower front and rear stretchers
CM-04,center_module,2x4 lumber,1.5,2,29.5,3.5,29,3.5,cut_now,Saw-mount ledgers
CM-05,center_module,2x4 lumber,1.5,2,25.0,3.5,24,3.5,cut_now,Mounting-deck supports and jack-screw carriers
CM-06,center_module,plywood,0.75,1,28.5,24.5,28,24,cut_now,Adjustable saw mounting deck; drill final bolt pattern only after flush fit
RM-01,right_module,plywood,0.75,2,31.5,42.5,31,42,cut_now,Right module sides
RM-02,right_module,plywood,0.75,1,31.5,42.5,31,42,after_service_layout,Right module partition with 8 x 8 in upper notches starting 9-1/2 in and 30 in from the front edge
RM-03,right_module,plywood,0.75,1,21,41,20.5,40.5,cut_now,Dust-bay floor
RM-04,right_module,plywood,0.75,2,27,4.5,26.5,4,cut_now,Right module top front and rear stretchers
RM-05,right_module,plywood,0.5,1,29.25,31.5,28.75,31,after_service_layout,Right module back panel with service cutouts
RM-06,right_module,plywood,0.75,1,20.5,28.5,20,28,after_mockup,Plain removable dust-service face; live controls must not trap this panel
RM-07,right_module,plywood,0.75,1,12.5,10.5,12,10,cut_now,Right-side router access hatch
RM-08,right_module,plywood,0.75,1,24.5,19.5,24,19,after_mockup,Hercules fixed low deck or skid base field-fit to actual body stance
RM-09,right_module,plywood,0.75,2,20.5,1.75,20,1.5,cut_now,Front service-face cleats
RM-10,right_module,plywood,0.75,1,12.5,18.5,12,18,after_service_layout,Independent removable control subpanel for manifold aux switch and flex-hose dock
TOP-01A,top,plywood,0.75,1,90.5,32.5,90,31.75,cut_now,Rear fixed-top substrate to final blank size; saw opening still field-fit later
TOP-01B,top,plywood,0.75,1,31.0,17.0,30.25,16.25,cut_now,Right-front infill substrate to final blank size; saw opening and reliefs still field-fit later
TOP-02A,top,MDF,0.75,1,90.5,32.5,90,31.75,cut_now,Rear fixed-top skin to final blank size; do not machine opening or slots yet
TOP-02B,top,MDF,0.75,1,31.0,17.0,30.25,16.25,cut_now,Right-front infill skin to final blank size; do not machine opening or slots yet
TOP-03,top,plywood,0.75,4,15,2.5,14,2,cut_now,Router plate ledgers and local blocking
TOP-04,top,plywood,0.75,2,30.75,4.5,30.25,4,cut_now,Seam cleats under the right-front infill joint
TOP-05,top,plywood,0.75,2,42,3.5,41.25,3,cut_now,Under-top stiffeners that stay outside the rail keep-clear lanes
TOP-06,top,plywood,0.75,4,4.5,4.5,4,4,cut_now,Future overlay anchor backing pads at x=6 and x=54 anchor stations
